OPERADORA_PAIS,Date,Population
DE,2020-06,83328988
DE,2020-07,83328988
DE,2020-08,83328988
DE,2020-09,83328988
DE,2020-10,83328988
DE,2020-11,83328988
DE,2020-12,83328988
DE,2021-01,83408555
DE,2021-02,83408555
DE,2021-03,83408555
DE,2021-04,83408555
DE,2021-05,83408555
DE,2021-06,83408555
DE,2021-07,83408555
DE,2021-08,83408555
DE,2021-09,83408555
DE,2021-10,83408555
DE,2021-11,83408555
DE,2021-12,83408555
DE,2022-01,83369843
DE,2022-02,83369843
DE,2022-03,83369843
DE,2022-04,83369843
DE,2022-05,83369843
DE,2022-06,83369843
DE,2022-07,83369843
DE,2022-08,83369843
DE,2022-09,83369843
DE,2022-10,83369843
DE,2022-11,83369843
DE,2022-12,83369843
DE,2023-01,83294633
DE,2023-02,83294633
DE,2023-03,83294633
DE,2023-04,83294633
DE,2023-05,83294633
DE,2023-06,83294633
DE,2023-07,83294633
DE,2023-08,83294633
DE,2023-09,83294633
DE,2023-10,83294633
DE,2023-11,83294633
DE,2023-12,83294633
GT,2018-01,16850176
GT,2018-02,16850176
GT,2018-03,16850176
GT,2018-04,16850176
GT,2018-05,16850176
GT,2018-06,16850176
GT,2018-07,16850176
GT,2018-08,16850176
GT,2018-09,16850176
GT,2018-10,16850176
GT,2018-11,16850176
GT,2018-12,16850176
GT,2019-01,17106338
GT,2019-02,17106338
GT,2019-03,17106338
GT,2019-04,17106338
GT,2019-05,17106338
GT,2019-06,17106338
GT,2019-07,17106338
GT,2019-08,17106338
GT,2019-09,17106338
GT,2019-10,17106338
GT,2019-11,17106338
GT,2019-12,17106338
GT,2020-01,17362719
GT,2020-02,17362719
GT,2020-03,17362719
GT,2020-04,17362719
GT,2020-05,17362719
GT,2020-06,17362719
GT,2020-07,17362719
GT,2020-08,17362719
GT,2020-09,17362719
GT,2020-10,17362719
GT,2020-11,17362719
GT,2020-12,17362719
GT,2021-01,17608484
GT,2021-02,17608484
GT,2021-03,17608484
GT,2021-04,17608484
GT,2021-05,17608484
GT,2021-06,17608484
GT,2021-07,17608484
GT,2021-08,17608484
GT,2021-09,17608484
GT,2021-10,17608484
GT,2021-11,17608484
GT,2021-12,17608484
GT,2022-01,17843908
GT,2022-02,17843908
GT,2022-03,17843908
GT,2022-04,17843908
GT,2022-05,17843908
GT,2022-06,17843908
GT,2022-07,17843908
GT,2022-08,17843908
GT,2022-09,17843908
GT,2022-10,17843908
GT,2022-11,17843908
GT,2022-12,17843908
GT,2023-01,18092026
GT,2023-02,18092026
GT,2023-03,18092026
GT,2023-04,18092026
GT,2023-05,18092026
GT,2023-06,18092026
GT,2023-07,18092026
GT,2023-08,18092026
GT,2023-09,18092026
GT,2023-10,18092026
GT,2023-11,18092026
GT,2023-12,18092026
MX,2018-01,124013862
MX,2018-02,124013862
MX,2018-03,124013862
MX,2018-04,124013862
MX,2018-05,124013862
MX,2018-06,124013862
MX,2018-07,124013862
MX,2018-08,124013862
MX,2018-09,124013862
MX,2018-10,124013862
MX,2018-11,124013862
MX,2018-12,124013862
MX,2019-01,125085311
MX,2019-02,125085311
MX,2019-03,125085311
MX,2019-04,125085311
MX,2019-05,125085311
MX,2019-06,125085311
MX,2019-07,125085311
MX,2019-08,125085311
MX,2019-09,125085311
MX,2019-10,125085311
MX,2019-11,125085311
MX,2019-12,125085311
MX,2020-01,125998302
MX,2020-02,125998302
MX,2020-03,125998302
MX,2020-04,125998302
MX,2020-05,125998302
MX,2020-06,125998302
MX,2020-07,125998302
MX,2020-08,125998302
MX,2020-09,125998302
MX,2020-10,125998302
MX,2020-11,125998302
MX,2020-12,125998302
MX,2021-01,126705138
MX,2021-02,126705138
MX,2021-03,126705138
MX,2021-04,126705138
MX,2021-05,126705138
MX,2021-06,126705138
MX,2021-07,126705138
MX,2021-08,126705138
MX,2021-09,126705138
MX,2021-10,126705138
MX,2021-11,126705138
MX,2021-12,126705138
MX,2022-01,127504126
MX,2022-02,127504126
MX,2022-03,127504126
MX,2022-04,127504126
MX,2022-05,127504126
MX,2022-06,127504126
MX,2022-07,127504126
MX,2022-08,127504126
MX,2022-09,127504126
MX,2022-10,127504126
MX,2022-11,127504126
MX,2022-12,127504126
MX,2023-01,128455567
MX,2023-02,128455567
MX,2023-03,128455567
MX,2023-04,128455567
MX,2023-05,128455567
MX,2023-06,128455567
MX,2023-07,128455567
MX,2023-08,128455567
MX,2023-09,128455567
